epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,11.1226,0.83926,3.37697,0.83444,0.01601,0.73333,0.04403,0.02682,0.95989,3.94792,0.81273,0.000194514,0.000194514,0.000194514
16,12.1196,0.98704,3.5182,0.86244,0.01781,0.8,0.04263,0.0265,1.0153,3.92919,0.81503,0.000207984,0.000207984,0.000207984
17,12.7407,1.00203,3.33504,0.84118,0.01781,0.8,0.04263,0.0265,1.0153,3.92919,0.81503,0.000221397,0.000221397,0.000221397
18,13.3878,0.98778,3.31521,0.83641,0.01973,0.86667,0.06172,0.03372,1.00059,3.90849,0.81014,0.000234753,0.000234753,0.000234753
19,13.9844,1.04722,3.28524,0.84754,0.01973,0.86667,0.06172,0.03372,1.00059,3.90849,0.81014,0.000248053,0.000248053,0.000248053
20,14.6157,1.08537,3.31689,0.84904,0.02121,0.93333,0.06068,0.03633,0.87104,3.88818,0.79086,0.000261296,0.000261296,0.000261296
21,15.1828,1.00835,3.21525,0.85782,0.02121,0.93333,0.06068,0.03633,0.87104,3.88818,0.79086,0.000274482,0.000274482,0.000274482
22,15.9321,0.89442,3.21968,0.84414,0.02249,1,0.05806,0.03305,0.93416,3.87588,0.79333,0.000287612,0.000287612,0.000287612
23,16.5234,0.88318,3.11248,0.83742,0.02249,1,0.05806,0.03305,0.93416,3.87588,0.79333,0.000300686,0.000300686,0.000300686
24,17.0796,0.86421,3.11147,0.83666,0.02249,1,0.05806,0.03305,0.93416,3.87588,0.79333,0.000313702,0.000313702,0.000313702
25,17.7232,0.94892,3.27878,0.84144,0.02212,1,0.14159,0.05065,1.06906,3.85282,0.80349,0.000326663,0.000326663,0.000326663
26,18.3183,0.9812,3.07178,0.87233,0.02212,1,0.14159,0.05065,1.06906,3.85282,0.80349,0.000339566,0.000339566,0.000339566
27,18.9153,0.9246,2.97936,0.82219,0.02212,1,0.14159,0.05065,1.06906,3.85282,0.80349,0.000352413,0.000352413,0.000352413
28,19.5729,0.98133,3.06171,0.8255,0.02179,1,0.1315,0.03916,1.13992,3.84347,0.81232,0.000365204,0.000365204,0.000365204
29,20.2785,0.96452,2.93799,0.83917,0.02179,1,0.1315,0.03916,1.13992,3.84347,0.81232,0.000377937,0.000377937,0.000377937
30,20.9819,1.05004,3.06264,0.83524,0.02179,1,0.1315,0.03916,1.13992,3.84347,0.81232,0.000390615,0.000390615,0.000390615
31,21.6141,0.92829,2.7217,0.85528,0.02183,1,0.13262,0.03984,1.08118,3.8115,0.81269,0.000403235,0.000403235,0.000403235
32,22.2045,0.83716,2.90609,0.81441,0.02183,1,0.13262,0.03984,1.08118,3.8115,0.81269,0.000415799,0.000415799,0.000415799
33,22.7509,0.90033,2.91657,0.84544,0.02183,1,0.13262,0.03984,1.08118,3.8115,0.81269,0.000428307,0.000428307,0.000428307
34,23.3599,0.97632,2.77124,0.84367,0.02191,1,0.03734,0.02197,1.20953,3.74968,0.83083,0.000440758,0.000440758,0.000440758
35,23.9711,1.19279,2.66809,0.84771,0.02191,1,0.03734,0.02197,1.20953,3.74968,0.83083,0.000453152,0.000453152,0.000453152
36,24.6444,0.91,2.70483,0.84466,0.02191,1,0.03734,0.02197,1.20953,3.74968,0.83083,0.00046549,0.00046549,0.00046549
37,25.281,0.90971,2.73104,0.83318,0.02191,1,0.03734,0.02197,1.20953,3.74968,0.83083,0.000477771,0.000477771,0.000477771
38,25.9065,0.82768,2.82141,0.82058,0.02194,1,0.08138,0.05677,1.08552,3.69888,0.8193,0.000489995,0.000489995,0.000489995
39,26.4787,1.04344,2.56016,0.82002,0.02194,1,0.08138,0.05677,1.08552,3.69888,0.8193,0.000502163,0.000502163,0.000502163
40,27.125,0.87184,2.53995,0.8256,0.02194,1,0.08138,0.05677,1.08552,3.69888,0.8193,0.000514275,0.000514275,0.000514275
41,27.7502,0.99072,2.6904,0.83196,0.02194,1,0.08138,0.05677,1.08552,3.69888,0.8193,0.000526329,0.000526329,0.000526329
